time,open,high,low,close,vwap,volume,count
2026-01-25 15:10:00+00:00,88584.0,88616.5,88583.9,88616.5,88609.2,0.38381725,50
2026-01-25 15:15:00+00:00,88616.5,88616.5,88574.9,88574.9,88609.8,1.57419413,117
2026-01-25 15:20:00+00:00,88563.9,88563.9,88515.0,88515.1,88530.4,1.54241736,96
2026-01-25 15:25:00+00:00,88515.1,88609.9,88515.0,88609.9,88547.5,0.26150731,67
2026-01-25 15:30:00+00:00,88609.9,88609.9,88575.0,88575.0,88599.0,0.97167920,86
2026-01-25 15:35:00+00:00,88575.1,88575.1,88530.1,88530.2,88570.9,1.74793092,92
2026-01-25 15:40:00+00:00,88530.2,88544.5,88530.2,88539.6,88542.4,5.52460303,102
2026-01-25 15:45:00+00:00,88539.7,88539.7,88450.0,88450.0,88527.3,13.44095597,191
2026-01-25 15:50:00+00:00,88450.1,88461.0,88250.0,88266.4,88321.7,4.92190359,228
2026-01-25 15:55:00+00:00,88266.4,88357.6,88266.4,88316.3,88285.8,5.84413987,181
2026-01-25 16:00:00+00:00,88316.3,88316.3,87881.9,88148.1,88032.1,114.11134691,733
2026-01-25 16:05:00+00:00,88148.1,88148.1,87785.0,87936.3,87940.3,41.37489626,612
2026-01-25 16:10:00+00:00,87936.3,87962.9,87728.4,87786.8,87814.8,30.40384269,690
2026-01-25 16:15:00+00:00,87786.8,87850.4,87526.6,87550.4,87618.4,41.11435342,775
2026-01-25 16:20:00+00:00,87550.5,87793.4,87429.2,87781.2,87588.7,16.25891326,656
2026-01-25 16:25:00+00:00,87781.2,87973.4,87751.9,87965.7,87846.3,7.25316690,370
2026-01-25 16:30:00+00:00,87934.1,88000.0,87646.8,87700.1,87905.5,19.28555717,384
2026-01-25 16:35:00+00:00,87700.0,87900.9,87694.0,87813.7,87802.6,4.15371545,334
2026-01-25 16:40:00+00:00,87842.9,87890.0,87791.9,87792.0,87830.1,2.79870299,221
2026-01-25 16:45:00+00:00,87792.0,87792.0,87680.0,87738.3,87732.5,4.33791357,271
2026-01-25 16:50:00+00:00,87738.3,87877.9,87738.2,87876.5,87829.9,1.33599723,185
2026-01-25 16:55:00+00:00,87876.5,87999.8,87876.5,87952.8,87966.6,4.55529947,213
2026-01-25 17:00:00+00:00,87952.8,87956.5,87776.3,87893.6,87936.1,4.95116969,231
2026-01-25 17:05:00+00:00,87860.6,87887.9,87744.1,87887.9,87778.7,3.98006498,190
2026-01-25 17:10:00+00:00,87887.8,87887.8,87755.9,87755.9,87843.3,1.43219439,171
2026-01-25 17:15:00+00:00,87744.1,87826.8,87744.1,87796.2,87766.0,14.57396941,280
2026-01-25 17:20:00+00:00,87800.0,87876.3,87744.1,87744.1,87803.1,3.85802772,231
2026-01-25 17:25:00+00:00,87744.1,87798.6,87627.5,87778.9,87697.5,19.54724985,296
2026-01-25 17:30:00+00:00,87778.9,87831.6,87677.4,87702.1,87706.3,13.35932194,266
2026-01-25 17:35:00+00:00,87702.1,87794.2,87702.0,87785.9,87760.9,10.82722746,224
2026-01-25 17:40:00+00:00,87786.0,87870.3,87765.5,87869.2,87831.3,10.39476584,148
2026-01-25 17:45:00+00:00,87869.1,87869.2,87800.0,87827.3,87819.2,4.99970961,185
2026-01-25 17:50:00+00:00,87827.2,87844.2,87802.7,87802.7,87826.8,3.97488036,154
