ts,price,volume
2026-01-21 03:00:42.074000+00:00,88946.87566870019,63126914968.00061
2026-01-21 04:03:18.244000+00:00,89329.20294498527,63706579710.89536
2026-01-21 05:03:15.800000+00:00,89361.69891500166,62655112081.39572
2026-01-21 06:01:44.373000+00:00,89878.00973770316,62161028241.727135
2026-01-21 07:00:43.202000+00:00,89532.4133217517,58983321981.88382
2026-01-21 08:01:39.628000+00:00,89095.30300631368,59072065303.857666
2026-01-21 09:01:52.759000+00:00,89065.35689714097,58117145515.444534
2026-01-21 10:01:42.800000+00:00,89103.41811490948,58073849737.916115
2026-01-21 11:00:09.339000+00:00,89165.57601641436,57547866641.73377
2026-01-21 12:03:14.498000+00:00,88716.44498897441,57948023700.38999
2026-01-21 13:03:56.622000+00:00,88654.48527682706,59749492507.57042
2026-01-21 14:01:33.349000+00:00,88596.05882515994,59867105528.07282
2026-01-21 15:00:45.710000+00:00,89733.05294575737,60671870452.438705
2026-01-21 16:01:13.486000+00:00,90213.5627951048,59458790941.38693
2026-01-21 17:03:40.991000+00:00,87653.05294494564,61112451155.82113
2026-01-21 18:01:40.528000+00:00,87842.96959431098,63053970596.61296
2026-01-21 19:03:54.503000+00:00,88466.44682981329,63135166053.250336
2026-01-21 20:01:54.908000+00:00,90203.59760452656,66336970584.85399
2026-01-21 21:01:49.680000+00:00,90050.46122854245,66904218594.70355
2026-01-21 22:01:04.951000+00:00,90174.16517701892,67120955515.26512
2026-01-21 23:01:29.438000+00:00,89724.20413125702,64076046994.56233
2026-01-22 00:01:34.878000+00:00,89398.23941607063,62292526182.40952
2026-01-22 01:02:40.214000+00:00,89790.13905892898,60880878655.822716
2026-01-22 02:01:03.200000+00:00,90019.26449118655,60474602164.99312
2026-01-22 03:01:38.004000+00:00,89867.28101187048,59504738416.18571
2026-01-22 04:01:36.267000+00:00,89782.42437762058,58463110104.1849
2026-01-22 05:02:24.940000+00:00,89913.79199592299,58884923572.37688
2026-01-22 06:00:52.360000+00:00,89869.68646139317,57943845195.654015
2026-01-22 07:01:34.081000+00:00,90091.89624268706,57633727459.78268
2026-01-22 08:02:38.598000+00:00,89751.98448095794,55167220139.822716
2026-01-22 09:01:25.285000+00:00,89826.15011172557,55650446335.51925
2026-01-22 10:02:03.134000+00:00,89967.70233476913,55794416483.15659
2026-01-22 11:01:45.454000+00:00,90003.75703204022,56582824052.53539
2026-01-22 12:01:43.226000+00:00,89845.21105467287,56630268683.875984
2026-01-22 13:01:27.706000+00:00,89910.79450133022,53577690047.94302
2026-01-22 14:00:07.175000+00:00,89466.62669477046,53862611127.59955
2026-01-22 15:01:41.548000+00:00,89265.60223439285,52323926129.01251
2026-01-22 16:01:43.021000+00:00,88928.445131748,52794344034.90441
2026-01-22 17:01:57.339000+00:00,88877.12362020834,50910722204.26752
2026-01-22 18:02:10.840000+00:00,89392.78879324035,47125940412.60565
2026-01-22 19:02:03.870000+00:00,89329.29671230883,46629618597.71088
2026-01-22 20:01:29.660000+00:00,89689.46806246096,42874184229.74172
2026-01-22 21:02:10.955000+00:00,89365.88481759811,41621590186.10285
2026-01-22 22:01:30.606000+00:00,89269.81970714335,39630207588.34301
2026-01-22 23:01:11.694000+00:00,89260.53228727853,40392510362.019646
2026-01-23 00:01:51.910000+00:00,89459.27203646343,39406081669.59616
2026-01-23 01:02:21.184000+00:00,89493.03759223505,39009347257.25342
2026-01-23 02:01:10.042000+00:00,89823.32225987155,38523494238.49655
2026-01-23 03:01:14.648000+00:00,89551.9214304581,37940078403.1535
2026-01-23 04:01:33.174000+00:00,89816.42211728683,37227588904.04073
2026-01-23 05:02:34.785000+00:00,89848.61748935514,37872324883.32585
2026-01-23 06:03:05.784000+00:00,89483.77531484977,38403603742.99916
2026-01-23 07:03:21.805000+00:00,89414.12024713028,38897935863.080376
2026-01-23 08:03:49.267000+00:00,89400.67184655859,39448733335.524635
2026-01-23 09:02:55.375000+00:00,89128.56124911373,39792804145.799194
2026-01-23 10:02:11.107000+00:00,88854.2635866417,40122098416.696945
2026-01-23 11:01:54.062000+00:00,88916.01966860569,39844810938.069084
2026-01-23 12:04:30.309000+00:00,89100.46329333047,39328783477.43339
2026-01-23 13:00:40.981000+00:00,89183.30393363352,39344524740.40404
2026-01-23 14:02:46.428000+00:00,89196.289778688,38845672119.08745
2026-01-23 15:03:42.048000+00:00,88936.32661441184,38690211630.46764
2026-01-23 16:02:30.245000+00:00,89648.47180071364,37545121519.97881
2026-01-23 17:00:48.869000+00:00,90025.83283891251,38377822926.809784
2026-01-23 18:01:53.751000+00:00,90475.02095074825,40555027957.34941
2026-01-23 19:01:24+00:00,90427.4516021458,40955577434.83526
2026-01-23 20:01:45.388000+00:00,89818.93831234495,42654801364.60719
2026-01-23 21:01:31.684000+00:00,89355.15847289481,43443508419.065735
2026-01-23 22:01:54.950000+00:00,89236.66736880725,43543421299.616974
2026-01-23 23:01:44.860000+00:00,89487.84366614968,43929022615.61897
2026-01-24 00:01:32.472000+00:00,89481.19822572527,43548170475.98961
2026-01-24 01:01:58.033000+00:00,89334.74757880229,42590341857.82905
2026-01-24 02:02:39.923000+00:00,89416.06489568406,42527494101.91152
2026-01-24 03:01:49.046000+00:00,89566.38371797214,41784282837.346436
2026-01-24 04:01:31.652000+00:00,89638.35596963183,41548316919.577576
2026-01-24 05:00:47.887000+00:00,89710.01957883479,41629667610.04121
2026-01-24 06:01:54.916000+00:00,89651.91903151566,40380558320.33593
2026-01-24 07:03:30.539000+00:00,89500.22198330525,39484411702.70263
